1;3812.00;9.50;841.00;small
1;3863.00;9.50;439.00;small
2;3863.00;9.50;1607.00;small
2;3812.00;9.50;1205.00;small
3;4602.00;9.50;829.00;small
3;4583.00;9.50;439.00;small
4;4583.00;9.50;1607.00;small
4;4634.00;9.50;1205.00;small
5;1018.00;9.50;455.00;small
5;1028.00;9.50;829.00;small
6;1028.00;9.50;1217.00;small
6;1018.00;9.50;1591.00;small
7;1818.00;9.50;841.00;big
7;1767.00;9.50;439.00;big
8;1570.00;9.50;1436.00;big
8;1968.00;9.50;1582.00;small
8;1923.00;9.50;1210.00;small
9;3174.00;9.50;1529.00;small
9;3104.00;9.50;550.00;small
10;3871.00;9.50;1915.00;small
10;4672.00;9.50;1916.00;small
11;5286.00;9.50;476.00;big
11;5298.00;9.50;1543.00;big
12;4537.00;9.50;183.00;small
12;3751.00;9.50;159.00;small
13;344.00;9.50;476.00;big
13;332.00;9.50;1543.00;big
14;958.00;9.50;1916.00;big
14;2025.00;9.50;1896.00;big
14;1532.00;9.50;1901.00;big
15;2456.00;9.50;1529.00;big
15;2526.00;9.50;550.00;big
16;1093.00;9.50;183.00;big
16;1879.00;9.50;159.00;big
